N,P,K,temperature,humidity,ph,rainfall,label
1.0,15.0,9.0,29.98364695,94.55239717,7.53350946,115.3560318,orange
24.0,142.0,202.0,22.53779727,91.48135786,5.710819862,101.8474768,apple
87.0,28.0,35.0,26.5602777,57.1621814,6.759211911,152.0616227,coffee
88.0,35.0,35.0,27.55906475,58.45742907,6.784460602,117.9389993,coffee
50.0,60.0,47.0,32.57720726,92.74889453,6.92791761,93.7942847,papaya
83.0,25.0,53.0,26.49195283,80.04678201,6.057697106,57.72799157,watermelon
68.0,70.0,54.0,31.29986342,92.76039164,6.986228647000001,54.77830202,papaya
35.0,41.0,18.0,28.70562673,81.59200689,6.705008503999999,59.87065439,mungbean
33.0,80.0,22.0,28.57006111,65.71765781,6.593961761,70.0866434,blackgram
18.0,23.0,44.0,23.71028128,89.61794165,6.184400085,105.64999070000002,pomegranate
16.0,65.0,16.0,18.13027797,62.45851612,6.078724107,50.6128521,lentil
101.37641164803253,52.88274533409635,40.55841667992015,24.56940879965302,80.0,6.208565501688064,76.22814071776953,wheat
83.0,79.0,55.0,25.14748006,83.34688193,5.565028635,98.66679427,banana
47.422721024649896,29.269514949700298,49.158645407069166,23.728400153087517,57.8704621966777,5.782930480106391,67.67408633472635,millet
101.30570602357257,55.10401513502325,41.59247756458776,20.616961910162033,64.61245570444613,6.894245823243426,51.67308985441005,wheat
119.0,72.0,55.0,25.99069521,83.33983116,6.220643671,112.0777152,banana
63.0,58.0,47.0,26.83054058,90.75379971,6.864143752,144.66564440000005,papaya
99.0,38.0,21.0,22.88330922,71.59722446,6.352471866,67.72777298,maize
104.0,26.0,30.0,24.40726724,62.65692638,6.410992833,148.6977358,coffee
20.0,20.0,10.0,11.86631922,93.68394562,6.976997772000001,106.060149,orange
49.93937712868307,41.91791095551386,24.75585225444232,20.094844588619004,60.20908993458926,6.130243005569447,49.54740912141134,mustard
80.0,15.0,28.0,23.11438731,68.00096043,6.703270635,161.8944624,coffee
60.0,55.0,36.0,26.12797248,80.49172597,7.132389299,150.6326874,jute
118.0,18.0,32.0,27.6496114,51.11044023,6.351823783,122.8392822,coffee
44.0,74.0,85.0,20.18649426,19.63719995,7.150681303,78.26039559,chickpea
37.99333586835962,38.86518048633157,28.485878987242273,21.076412085988075,72.16030651260893,6.057177237905483,81.2508416515187,millet
42.0,61.0,22.0,26.27274407,62.28814857,7.418650668,70.23207557,blackgram
74.0,46.0,45.0,25.75734909,88.36668522,6.025028997000001,189.4263485,jute
39.0,77.0,21.0,22.99774444,60.24218572,4.603563116,159.689339,pigeonpeas
84.0,51.0,35.0,22.30157427,80.64416466,6.043304899,197.9791215,rice
91.0,94.0,46.0,29.36792366,76.24900101,6.149934034,92.82840911,banana
0.0,49.0,18.0,29.68361658,87.93598094,6.990095452,41.82490236,mungbean
53.81571080986724,23.90506908612962,24.57778883561923,19.485838877906993,55.125209024960625,5.749313110164014,52.6737422063975,millet
3.0,26.0,39.0,24.38318965,91.19431555,7.079973241,103.6012114,pomegranate
43.04926707906222,25.18092629591793,37.905585213647754,26.858623641608816,62.999627883208376,7.255099413463998,80.49267016855273,millet
7.0,73.0,25.0,27.52185591,63.13215259,7.28805662,45.20841071,lentil
56.04874310527298,23.941615771740373,41.63357399434971,21.744092004783543,62.03991176094298,6.428060095326571,69.09082856157448,millet
27.0,79.0,82.0,17.06579293,17.54024066,6.307004922999999,70.87150577,chickpea
20.0,60.0,78.0,18.17234999,14.70085967,6.358740355,90.7760707,chickpea
17.0,57.0,21.0,19.88394011,20.31564139,5.789214288999999,60.91974792,kidneybeans
93.0,26.0,27.0,24.59245684,56.46829641,7.288211994,137.70440469999997,coffee
112.0,25.0,51.0,25.04746944,85.5667282,6.932537231,56.72496677,watermelon
23.0,75.0,17.0,24.87425505,64.00213929,7.198076286,48.28137482,lentil
71.0,35.0,24.0,22.27373646,59.52193158,5.826426917,67.96704792,maize
23.0,57.0,19.0,32.83963757,67.99803573,7.251000789,73.40452716,blackgram
61.0,59.0,17.0,23.33844615,59.24580604,6.47444292,105.0083144,maize
27.0,72.0,17.0,28.98039357,57.23265151,6.347929353,120.7435664,pigeonpeas
102.57052421784955,65.45714203425942,39.082108468264806,18.731061634475736,59.73844201524726,6.348117258136953,85.02825830347271,wheat
26.0,11.0,11.0,13.70319166,90.95589386,7.609348255,106.2944879,orange
90.0,49.0,21.0,24.84016732,68.3584573,6.4725232870000005,74.05474936,maize
34.0,65.0,19.0,23.43974653,63.22011726,5.94239222,45.40277297,lentil
55.64708798308646,32.497553596181696,33.07599424665685,22.04694410938715,58.854928493747934,6.695456597401852,36.81571334057999,mustard
120.0,25.0,50.0,28.05457761,94.81637388,6.327210469,21.84869328,muskmelon
30.0,65.0,25.0,32.88733849,64.59457409,7.70650895,71.50569456,blackgram
50.484704857061374,34.261381739091945,46.974004938703786,24.18363022574634,46.31879578753762,6.312696383086033,47.49308595641729,mustard
23.0,62.0,19.0,16.51783455,20.4555596,5.609435127999999,98.77794225,kidneybeans
